Metric Category,Metric,Minimum Metrics Verbosity,Include,Metric Verbosity,Absolute Threshold,Percent Threshold,Include in Docs,Description
TS Mean,Clothes Washer Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Clothes Dryer Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Ventilation Fan Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,TV Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,MELs Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Total Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,HVAC Heating Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,Water Heating Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,Other Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,Cooking Range Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,Clothes Dryer Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,MGLs Gas Power (therms/hour) MEAN,,FALSE,,0.01,5,FALSE,
TS Mean,HVAC Heating Setpoint (C) MEAN,,FALSE,,0.1,5,FALSE,
TS Mean,HVAC Cooling Setpoint (C) MEAN,,FALSE,,0.1,5,FALSE,
TS Mean,Unmet HVAC Load (C) MEAN,,FALSE,,0.1,5,FALSE,
TS Mean,HVAC Heating Delivered (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Heating Main Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Heating Fan Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Heating Capacity (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Heating COP (-) MEAN,,FALSE,,0.005,5,FALSE,
TS Mean,HVAC Heating Duct Losses (W) MEAN,,FALSE,,20,5,FALSE,
TS Mean,HVAC Cooling Delivered (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Cooling Main Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Cooling Fan Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Cooling Latent Gains (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Cooling Capacity (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Cooling COP (-) MEAN,,FALSE,,0.005,5,FALSE,
TS Mean,HVAC Cooling SHR (-) MEAN,,FALSE,,0.005,5,FALSE,
TS Mean,HVAC Cooling Duct Losses (W) MEAN,,FALSE,,20,5,FALSE,
TS Mean,Temperature - Indoor (C) MEAN,,FALSE,,0.25,5,FALSE,
TS Mean,Temperature - Foundation (C) MEAN,,FALSE,,0.25,5,FALSE,
TS Mean,Temperature - Attic (C) MEAN,,FALSE,,0.25,5,FALSE,
TS Mean,Temperature - Garage (C) MEAN,,FALSE,,0.25,5,FALSE,
TS Mean,Temperature - Indoor Wet Bulb (C) MEAN,,FALSE,,0.25,5,FALSE,
TS Mean,Net Latent Heat Gain - Indoor (W) MEAN,,FALSE,,20,5,FALSE,
TS Mean,Relative Humidity - Indoor (-) MEAN,,FALSE,,0.005,5,FALSE,
TS Mean,Humidity Ratio - Indoor (-) MEAN,,FALSE,,0.005,5,FALSE,
TS Mean,Window Transmitted Solar Gain (W) MEAN,,FALSE,,10,5,FALSE,
TS Mean,Forced Ventilation Flow Rate - Indoor (m^3/s) MEAN,,FALSE,,0.001,5,FALSE,
TS Mean,Natural Ventilation Flow Rate - Indoor (m^3/s) MEAN,,FALSE,,0.001,5,FALSE,
TS Mean,Infiltration Flow Rate - Indoor (m^3/s) MEAN,,FALSE,,0.001,5,FALSE,
TS Mean,Infiltration Flow Rate - Foundation (m^3/s) MEAN,,FALSE,,0.001,5,FALSE,
TS Mean,Infiltration Flow Rate - Attic (m^3/s) MEAN,,FALSE,,0.001,5,FALSE,
TS Mean,Infiltration Flow Rate - Garage (m^3/s) MEAN,,FALSE,,0.001,5,FALSE,
TS Mean,Forced Ventilation Heat Gain - Indoor (W) MEAN,,FALSE,,5,5,FALSE,
TS Mean,Natural Ventilation Heat Gain - Indoor (W) MEAN,,FALSE,,5,5,FALSE,
TS Mean,Infiltration Heat Gain - Indoor (W) MEAN,,FALSE,,5,5,FALSE,
TS Mean,Infiltration Heat Gain - Foundation (W) MEAN,,FALSE,,10,5,FALSE,
TS Mean,Infiltration Heat Gain - Attic (W) MEAN,,FALSE,,20,5,FALSE,
TS Mean,Infiltration Heat Gain - Garage (W) MEAN,,FALSE,,20,5,FALSE,
TS Mean,Internal Heat Gain - Indoor (W) MEAN,,FALSE,,5,5,FALSE,
TS Mean,Occupancy Heat Gain - Indoor (W) MEAN,,FALSE,,5,5,FALSE,
TS Mean,Exterior Wall Ext. Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Exterior Wall Indoor Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Interior Wall Indoor Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Attic Wall Ext. Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Attic Wall Attic Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Attic Roof Ext. Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Attic Roof Attic Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Attic Floor Attic Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Attic Floor Indoor Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Raised Floor Ext. Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Raised Floor Indoor Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Indoor Furniture Indoor Film Coefficient (m^2-K/W) MEAN,,FALSE,,0.2,20,FALSE,
TS Mean,Hot Water Delivered (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Hot Water Outlet Temperature (C) MEAN,,FALSE,,0.3,5,FALSE,
TS Mean,Hot Water Delivered (L/min) MEAN,,FALSE,,0.1,5,FALSE,
TS Mean,Temperature - Outdoor (C) MEAN,,FALSE,,0.1,5,FALSE,
TS Mean,Ambient Humidity Ratio (-) MEAN,,FALSE,,0.005,5,FALSE,
TS Mean,Ambient Relative Humidity (-) MEAN,,FALSE,,0.5,5,FALSE,
TS Mean,Wind Speed (m/s) MEAN,,FALSE,,0.05,5,FALSE,
TS Mean,DNI (W/m^2) MEAN,,FALSE,,3.5,5,FALSE,
TS Mean,DHI (W/m^2) MEAN,,FALSE,,3.5,5,FALSE,
TS Mean,GHI (W/m^2) MEAN,,FALSE,,3.5,5,FALSE,
RMSE,Total Electric Power (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,HVAC Heating Electric Power (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,HVAC Cooling Electric Power (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,Water Heating Electric Power (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,EV Electric Power (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,Other Electric Power (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,Clothes Washer Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Clothes Dryer Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Refrigerator Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Dishwasher Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Cooking Range Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Lighting Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Exterior Lighting Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Garage Lighting Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Basement Lighting Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Ventilation Fan Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,MELs Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,TV Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Gas Grill Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Well Pump Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Gas Fireplace Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Gas Lighting Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Pool Pump Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Pool Heater Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Hot Tub Pump Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Hot Tub Heater Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Ceiling Fan Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Ventilation Fan Electric Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,Total Gas Power (therms/hour) RMSE,,FALSE,,0.1,,FALSE,
RMSE,HVAC Heating Gas Power (therms/hour) RMSE,,TRUE,,0.1,,FALSE,
RMSE,Water Heating Gas Power (therms/hour) RMSE,,TRUE,,0.1,,FALSE,
RMSE,Other Gas Power (therms/hour) RMSE,,TRUE,,0.1,,FALSE,
RMSE,Cooking Range Gas Power (therms/hour) RMSE,,FALSE,,0.1,,FALSE,
RMSE,Clothes Dryer Gas Power (therms/hour) RMSE,,FALSE,,0.1,,FALSE,
RMSE,MGLs Gas Power (therms/hour) RMSE,,FALSE,,0.1,,FALSE,
RMSE,HVAC Heating Setpoint (C) RMSE,,FALSE,,1,,FALSE,
RMSE,HVAC Cooling Setpoint (C) RMSE,,FALSE,,1,,FALSE,
RMSE,Unmet HVAC Load (C) RMSE,,TRUE,,1,,FALSE,
RMSE,HVAC Heating Delivered (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,HVAC Heating Main Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,HVAC Heating Fan Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,HVAC Heating Capacity (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,HVAC Heating COP (-) RMSE,,FALSE,,0.05,,FALSE,
RMSE,HVAC Heating Duct Losses (W) RMSE,,FALSE,,200,,FALSE,
RMSE,HVAC Cooling Delivered (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,HVAC Cooling Main Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,HVAC Cooling Fan Power (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,HVAC Cooling Latent Gains (kW) RMSE,,FALSE,,0.2,,FALSE,
RMSE,HVAC Cooling Capacity (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,HVAC Cooling COP (-) RMSE,,FALSE,,0.05,,FALSE,
RMSE,HVAC Cooling SHR (-) RMSE,,FALSE,,0.05,,FALSE,
RMSE,HVAC Cooling Duct Losses (W) RMSE,,FALSE,,200,,FALSE,
RMSE,Temperature - Indoor (C) RMSE,,TRUE,,2.5,,FALSE,
RMSE,Temperature - Foundation (C) RMSE,,TRUE,,2.5,,FALSE,
RMSE,Temperature - Attic (C) RMSE,,TRUE,,5,,FALSE,
RMSE,Temperature - Garage (C) RMSE,,TRUE,,2.5,,FALSE,
RMSE,Temperature - Indoor Wet Bulb (C) RMSE,,TRUE,,2.5,,FALSE,
RMSE,Net Latent Heat Gain - Indoor (W) RMSE,,TRUE,,200,,FALSE,
RMSE,Relative Humidity - Indoor (-) RMSE,,FALSE,,0.05,,FALSE,
RMSE,Humidity Ratio - Indoor (-) RMSE,,FALSE,,0.05,,FALSE,
RMSE,Window Transmitted Solar Gain (W) RMSE,,TRUE,,100,,FALSE,
RMSE,Forced Ventilation Flow Rate - Indoor (m^3/s) RMSE,,TRUE,,0.01,,FALSE,
RMSE,Natural Ventilation Flow Rate - Indoor (m^3/s) RMSE,,TRUE,,0.01,,FALSE,
RMSE,Infiltration Flow Rate - Indoor (m^3/s) RMSE,,TRUE,,0.01,,FALSE,
RMSE,Infiltration Flow Rate - Foundation (m^3/s) RMSE,,FALSE,,0.01,,FALSE,
RMSE,Infiltration Flow Rate - Attic (m^3/s) RMSE,,FALSE,,0.01,,FALSE,
RMSE,Infiltration Flow Rate - Garage (m^3/s) RMSE,,FALSE,,0.01,,FALSE,
RMSE,Forced Ventilation Heat Gain - Indoor (W) RMSE,,TRUE,,50,,FALSE,
RMSE,Natural Ventilation Heat Gain - Indoor (W) RMSE,,TRUE,,50,,FALSE,
RMSE,Infiltration Heat Gain - Indoor (W) RMSE,,TRUE,,50,,FALSE,
RMSE,Infiltration Heat Gain - Foundation (W) RMSE,,FALSE,,100,,FALSE,
RMSE,Infiltration Heat Gain - Attic (W) RMSE,,FALSE,,200,,FALSE,
RMSE,Infiltration Heat Gain - Garage (W) RMSE,,FALSE,,200,,FALSE,
RMSE,Internal Heat Gain - Indoor (W) RMSE,,TRUE,,10,,FALSE,
RMSE,Occupancy Heat Gain - Indoor (W) RMSE,,TRUE,,10,,FALSE,
RMSE,Exterior Wall Ext. Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Exterior Wall Indoor Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Interior Wall Indoor Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Attic Wall Ext. Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Attic Wall Attic Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Attic Roof Ext. Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Attic Roof Attic Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Attic Floor Attic Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Attic Floor Indoor Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Raised Floor Ext. Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Raised Floor Indoor Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Indoor Furniture Indoor Film Coefficient (m^2-K/W) RMSE,,FALSE,,0.5,,FALSE,
RMSE,Hot Water Delivered (kW) RMSE,,TRUE,,0.2,,FALSE,
RMSE,Hot Water Outlet Temperature (C) RMSE,,FALSE,,3,,FALSE,
RMSE,Hot Water Delivered (L/min) RMSE,,FALSE,,1,,FALSE,
RMSE,Temperature - Outdoor (C) RMSE,,FALSE,,1,,FALSE,
RMSE,Ambient Humidity Ratio (-) RMSE,,FALSE,,0.05,,FALSE,
RMSE,Ambient Relative Humidity (-) RMSE,,FALSE,,5,,FALSE,
RMSE,Wind Speed (m/s) RMSE,,FALSE,,0.5,,FALSE,
RMSE,DNI (W/m^2) RMSE,,FALSE,,35,,FALSE,
RMSE,DHI (W/m^2) RMSE,,FALSE,,35,,FALSE,
RMSE,GHI (W/m^2) RMSE,,FALSE,,35,,FALSE,
