Category,OCHRE Name,OCHRE Units,OS-HPXML Name,OS-HPXML Units,Eplus Detailed Name,Eplus Detailed Units,Verbosity,Include in Docs,Category Priority,Description,Notes
Envelope,<boundary name> Ext. LWR Gain (W),W,,,,,9,TRUE,14,Long wave radiation heat gain on external boundary surface,
Envelope,<boundary name> Ext. Surface Temperature (C),degC,,,,,9,TRUE,14,External boundary surface temperature,
Envelope,<boundary name> Ext. Film Coefficient (m^2-K/W),m^2-K/W,,,,,9,TRUE,14,Film coefficient of external boundary surface,
Envelope,<boundary name> <zone> LWR Gain (W),W,,,,,9,TRUE,14,Long wave radiation heat gain on internal boundary surface,
Envelope,<boundary name> <zone> Surface Temperature (C),C,,,,,9,TRUE,14,Internal boundary surface temperature,
Envelope,<boundary name> <zone> Film Coefficient (m^2-K/W),m^2-K/W,,,,,9,TRUE,14,Film coefficient of internal boundary surface,
Schedule,Temperature - Outdoor (C),degC,Weather: Drybulb Temperature,degF,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),degC,5,FALSE,15,,
Schedule,Temperature - Ground (C),degC,,,,,5,FALSE,15,,
Schedule,Ambient Humidity Ratio (-),count,,,,,,,15,,
Schedule,Ambient Relative Humidity (-),count,Weather: Relative Humidity,%,Environment:Site Outdoor Air Relative Humidity [%](Hourly),%,,,15,,
Schedule,Wind Speed (m/s),m/s,Weather: Wind Speed,mph,Environment:Site Wind Speed [m/s](Hourly),m/s,,,15,,
Schedule,DNI (W/m^2),W/m^2,Weather: Diffuse Solar Radiation,Btu/(hour*ft^2),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),W/m^2,,,15,,
Schedule,DHI (W/m^2),W/m^2,Weather: Direct Solar Radiation,Btu/(hour*ft^2),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),W/m^2,,,15,,
Schedule,GHI (W/m^2),W/m^2,,,,,,,15,,
EBM,<end use> EBM Energy (kWh),kWh,,,,,N/A,TRUE,16,Energy state of equivalent battery model (EBM),
EBM,<end use> EBM Min Energy (kWh),kWh,,,,,N/A,TRUE,16,Minimum energy constraint,
EBM,<end use> EBM Max Energy (kWh),kWh,,,,,N/A,TRUE,16,Maximum energy constraint,
EBM,<end use> EBM Max Power (kW),kW,,,,,N/A,TRUE,16,Maximum power constraint,
EBM,<end use> EBM Efficiency (-),count,,,,,N/A,TRUE,16,Input/output power efficiency,
EBM,<end use> EBM Baseline Power (kW),kW,,,,,N/A,TRUE,16,Power to maintain constant energy state,
EBM,<end use> EBM Max Discharge Power (kW),kW,,,,,N/A,TRUE,16,Minimum power constraint (negative for discharge),
EBM,<end use> EBM Discharge Efficiency (-),count,,,,,N/A,TRUE,16,Input/output power efficiency while discharging,
